사용일자,노선명,역명,하차총승객수
202001,4호선,총신대입구(이수),24693
202001,4호선,사당,24227
202001,4호선,남태령,1459
202001,5호선,방화,7286
202001,5호선,개화산,5936
202001,5호선,김포공항,8178
202001,5호선,송정,7161
202001,5호선,마곡,7485
202001,5호선,발산,21393
202001,5호선,우장산,16352
202001,5호선,화곡,29814
202001,5호선,까치산,30881
202001,5호선,신정(은행정),11711
202001,5호선,목동,21525
202001,5호선,오목교(목동운동장앞),28743
202001,5호선,양평,7876
202001,5호선,영등포구청,4265
202001,5호선,영등포시장,11289
202001,5호선,신길,4384
202001,5호선,여의도,30935
202001,5호선,여의나루,8751
202001,5호선,마포,16337
202001,5호선,공덕,16832
202001,5호선,애오개,8250
202001,5호선,충정로(경기대입구),5057
202001,5호선,서대문,21616
202001,5호선,광화문(세종문화회관),40379
202001,5호선,종로3가,16601
202001,5호선,을지로4가,6814
202001,5호선,동대문역사문화공원,4151
202001,5호선,청구,4007
202001,5호선,신금호,7051
202001,5호선,행당,8248
202001,5호선,왕십리(성동구청),5745
202001,5호선,마장,6003
202001,5호선,답십리,16339
202001,5호선,장한평,20571
202001,5호선,군자(능동),12826
202001,5호선,아차산(어린이대공원후문),14392
202001,5호선,광나루(장신대),13291
202001,5호선,천호(풍납토성),21750
202001,5호선,강동,19427
202001,5호선,길동,8609
202001,5호선,굽은다리(강동구민회관앞),9590
202001,5호선,명일,9585
202001,5호선,고덕,10649
202001,5호선,상일동,14354
202001,5호선,둔촌동,9410
202001,5호선,올림픽공원(한국체대),3922
202001,5호선,방이,8304
202001,5호선,오금,3897
202001,5호선,개롱,7760
202001,5호선,거여,8140
202001,5호선,마천,5637
202001,6호선,응암,18609
202001,6호선,역촌,4797
202001,6호선,불광,5036
202001,6호선,독바위,3221
202001,6호선,구산,6416
202001,6호선,새절(신사),13562
202001,6호선,증산(명지대앞),10704
202001,6호선,디지털미디어시티,16866
202001,6호선,월드컵경기장(성산),5258
202001,6호선,마포구청,13972
202001,6호선,망원,16254
202001,6호선,합정,14197
202001,6호선,상수,11671
202001,6호선,광흥창(서강),10330
202001,6호선,대흥(서강대앞),9597
202001,6호선,공덕,20541
202001,6호선,효창공원앞,6805
202001,6호선,삼각지,5925
202001,6호선,녹사평(용산구청),5632
202001,6호선,이태원,14854
202001,6호선,한강진,9576
202001,6호선,버티고개,2449
202001,6호선,약수,4152
202001,6호선,청구,4302
202001,6호선,신당,8744
202001,6호선,동묘앞,8597
202001,6호선,창신,3144
202001,6호선,보문,7192
202001,6호선,안암(고대병원앞),12961
202001,6호선,고려대(종암),9251
202001,6호선,월곡(동덕여대),12764
202001,6호선,상월곡(한국과학기술연구원),6811
202001,6호선,돌곶이,8945
202001,6호선,석계,14170
202001,6호선,태릉입구,6683
202001,6호선,화랑대(서울여대입구),10102
202001,6호선,봉화산(서울의료원),9684
202001,7호선,장암,832
202001,7호선,도봉산,10966
202001,7호선,수락산,13631
202001,7호선,마들,12600
202001,7호선,노원,24935
202001,7호선,중계,14863
202001,7호선,하계,19001
202001,7호선,공릉(서울과학기술대),12726
202001,7호선,태릉입구,8277
202001,7호선,먹골,10878
202001,7호선,중화,11796
202001,7호선,상봉(시외버스터미널),17539
202001,7호선,면목,16077
202001,7호선,사가정,16854
202001,7호선,용마산,6037
202001,7호선,중곡,9974
202001,7호선,군자(능동),12596
202001,7호선,어린이대공원(세종대),12743
202001,7호선,건대입구,16705
