호선,역번호,역      명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
7,2745,신풍,144621,123331,151987,153022,156724,145908,148752,140551,138592,154631,152010,152999
7,2746,대림(7),121919,114503,130128,123924,127333,119643,119849,117934,119443,118989,115921,123500
7,2747,남구로,233394,196138,237742,237803,237548,220349,235901,221320,217168,234392,231039,235698
7,2748,가산디지털단지(7),696906,567372,665046,690285,685393,617278,698157,628574,603587,669156,670601,658002
7,2749,철산,412505,353037,430292,431331,445928,399846,416681,391383,379738,425064,414428,420346
7,2750,광명사거리,399923,345730,413008,411508,419780,383930,392932,375949,364693,402440,389810,393701
7,2751,천왕,110419,94899,116890,121779,125850,115913,122391,115698,114896,128449,125859,125143
7,2752,온수(7),78764,67306,93491,95565,95577,84097,82923,79229,83314,92272,91098,87786
7,2753,까치울,76515,66065,84888,89651,93297,84977,83434,78303,78899,89384,84879,84126
7,2754,부천종합운동장,48371,41854,54211,77181,56941,50137,49763,48026,48731,53937,51493,50269
7,2755,춘의,116053,97904,115899,121950,122562,113239,116991,108493,106392,117803,114327,113682
7,2756,신중동,220027,188916,226564,228760,235636,213430,222591,210645,204593,230324,225768,230398
7,2757,부천시청,186239,162222,193678,191749,201335,186436,195990,182930,177690,199396,194177,197473
7,2758,상동,216632,187482,227586,225797,231516,210486,215805,203993,199039,225841,222142,225016
7,2759,삼산체육관,68968,59231,72775,82838,79916,72404,78010,72613,67792,80442,75639,76522
7,2760,굴포천,133182,114044,138467,139243,143289,132276,135127,131028,128407,141760,140111,141128
7,2761,부평구청(7),83949,72039,89396,89971,91358,83278,86978,83933,82274,92460,90443,90244
8,2811,암사,342008,288816,349497,351794,354283,326843,345617,325229,316016,356292,343365,345028
8,2812,천호(8),322695,274196,329023,325719,334828,304573,319435,301959,288624,321784,317382,321392
8,2813,강동구청,223508,183420,219906,221224,223764,206558,223797,205636,198771,223194,221386,231074
8,2814,몽촌토성,128420,105007,134108,133653,158598,119723,117996,109794,113906,130154,123065,118769
8,2815,잠실(8),230836,204860,231856,250038,244987,221456,241757,235607,211377,242951,246023,270763
8,2816,석촌(8),187685,157188,185778,201857,191375,169370,176845,169060,160782,182689,178686,182046
8,2817,송파,116205,115836,171834,188467,197306,182422,193205,176491,174927,192365,190627,191612
8,2818,가락시장(8),151902,122061,147009,148078,143165,131344,138341,128646,129304,145220,148988,158579
8,2819,문정,435893,349346,421260,442154,438360,402007,448828,402879,389526,438222,438107,437061
8,2820,장지,370225,314128,381599,377777,390502,360820,378921,351370,335795,370790,370268,381865
8,2821,복정(8),223219,186590,252142,255421,255733,231616,225916,212964,221899,248698,245582,234420
8,2822,산성,94814,80681,106307,108475,111751,103848,100952,98430,98371,111998,107368,100499
8,2823,남한산성입구,235943,200540,279591,284085,291032,249208,239639,224670,255201,284254,274909,256874
8,2824,단대오거리,198817,169499,211355,210948,218142,191014,195885,184238,186269,207406,200412,199975
8,2825,신흥,87867,77141,90542,89650,94756,87886,93549,90896,84633,93284,92718,94991
8,2826,수진,87231,75023,89768,87908,92831,86193,90730,87619,83597,96105,93129,95444
8,2827,모란(8),22493,18687,23718,23170,24691,22278,22504,22175,21278,26157,22652,23540
9,4126,언주,236151,190947,219230,225551,221653,208501,238778,226490,204683,232551,234711,243670
9,4127,선정릉,229271,188284,227092,236453,238484,218133,240953,226609,215325,247924,246403,245816
9,4128,삼성중앙,151571,123840,147922,150985,149977,139030,156727,149252,140124,156086,158842,164746
9,4129,봉은사,424390,359624,443941,456956,495960,440326,510666,475350,405947,478713,498166,582650
9,4130,종합운동장(9),107784,90213,111920,111264,115166,104814,113708,108309,98551,112296,109329,115737
9,4131,삼전,105275,93476,115669,115843,120139,114421,123932,123152,117814,132022,131409,138141
9,4132,석촌고분,95100,84566,104384,108294,110494,104093,115154,111313,106049,118017,118926,124725
9,4133,석촌(9),90039,83445,107137,125117,127867,121132,131280,129078,125379,146482,144324,144999
9,4134,송파나루,73860,66071,81111,85649,87704,81683,91619,92849,84112,93907,95887,105652
9,4135,한성백제,33553,28664,36018,37079,45111,37375,39677,40454,42463,48565,47393,47440
9,4136,올림픽공원(9),137052,114058,164857,172884,206321,211204,221347,201275,174387,207883,208022,224973
9,4137,둔촌오륜,14360,12674,17131,17392,17827,16832,17611,17159,17302,18946,19441,19552
9,4138,중앙보훈병원,138479,120733,147895,156441,163502,153888,172043,170985,167846,198066,190791,194019
