NO,지역,성별,나이,자동차,대중교통,택시,비용,경험,인지,한정도입,완전도입,가구원수,월소득
195,d,M,5,1,4,0,1,1,1,0,0,4,1
196,d,F,4,0,4,0,2,0,2,0,1,4,2
198,d,F,3,0,3,2,1,1,1,0,0,2,2
199,b,M,2,0,4,2,1,0,1,1,0,3,1
201,e,M,5,1,3,1,2,1,3,1,1,4,2
202,a,M,2,0,4,1,1,0,1,1,1,2,0
204,e,F,4,0,3,1,1,1,2,1,0,5,1
205,e,F,3,1,3,0,2,1,2,1,0,3,2
206,b,M,3,1,3,1,1,0,2,1,1,1,0
207,a,M,3,1,0,0,NA,0,1,1,1,1,0
208,d,F,5,0,4,0,2,0,2,1,1,3,1
209,d,F,2,0,4,2,2,1,1,0,0,4,1
210,d,M,4,1,4,2,2,0,2,0,0,1,1
211,d,F,5,1,3,0,1,1,2,1,1,3,2
212,d,F,2,0,4,0,2,0,1,1,1,1,0
214,d,M,5,0,0,0,NA,0,1,1,0,3,0
215,d,F,5,0,4,1,1,0,3,1,1,3,0
216,b,M,3,1,3,2,0,1,2,0,0,4,2
217,b,M,4,0,2,2,1,0,2,1,1,1,0
219,b,F,5,1,2,1,0,1,2,0,1,4,2
220,d,M,4,1,4,1,1,0,3,1,1,4,1
221,d,M,4,1,1,2,0,0,3,1,0,2,0
222,c,F,5,1,4,0,1,0,2,1,0,4,1
223,d,M,2,0,4,1,1,0,1,1,0,1,0
224,d,F,5,1,3,2,0,1,1,0,0,4,2
225,c,F,2,0,4,1,1,0,1,0,1,5,1
226,b,F,4,1,2,2,0,0,1,0,0,3,2
227,a,F,5,1,2,2,2,0,2,1,1,6,2
228,b,M,5,1,4,0,1,0,1,1,1,3,0
229,d,M,3,1,4,2,2,0,1,1,0,2,2
231,b,M,5,0,2,1,0,0,2,0,1,4,1
232,d,F,2,0,4,1,1,0,2,1,1,1,0
233,d,F,2,0,4,0,2,0,1,1,0,5,1
234,d,M,3,1,4,2,2,0,1,1,1,4,2
235,b,M,3,0,3,1,2,0,2,1,0,4,0
236,c,M,5,1,2,2,1,1,3,1,1,2,2
237,b,F,2,0,4,2,2,0,2,0,0,3,2
238,a,M,4,1,4,2,1,0,2,0,1,2,0
239,b,M,2,0,4,1,0,0,1,0,0,4,1
240,b,M,5,1,3,3,0,0,2,1,1,4,2
242,b,M,5,0,4,2,1,0,2,1,1,1,0
243,e,F,3,1,2,0,2,0,2,1,1,1,0
244,b,M,4,1,0,0,NA,0,2,0,0,4,2
245,c,M,3,1,3,1,1,1,2,1,1,4,2
246,b,M,2,0,4,1,1,1,1,1,0,1,1
247,e,F,4,0,4,1,1,0,1,1,1,3,2
249,d,M,3,1,3,1,0,0,1,1,0,1,0
251,e,M,3,1,3,1,1,1,3,1,1,3,2
252,b,M,4,1,2,0,2,1,2,1,1,4,1
253,c,F,4,1,3,1,1,0,2,1,1,3,2
255,b,F,5,0,3,0,0,0,1,0,0,3,2
256,d,M,5,1,3,1,2,1,2,1,1,4,2
257,d,F,3,0,4,1,1,0,1,1,1,1,0
258,e,M,2,1,3,2,2,0,1,1,0,4,2
259,c,F,5,1,3,1,1,1,3,1,1,3,2
260,b,F,5,0,2,3,0,1,2,1,1,4,2
261,b,F,4,0,4,0,1,0,1,1,1,6,0
263,c,F,5,1,3,1,0,0,1,0,1,4,2
265,c,M,3,0,4,1,2,1,2,1,1,4,2
267,d,M,4,1,3,0,1,0,1,1,0,4,2
268,d,M,3,1,3,1,1,1,1,1,0,2,0
269,c,M,5,1,4,1,1,0,3,1,1,3,2
270,c,F,3,0,1,0,2,0,2,0,1,3,1
271,e,F,4,0,4,1,1,0,1,1,1,2,1
275,d,F,2,1,3,2,1,1,2,1,1,4,1
276,b,M,5,0,3,1,2,0,2,1,1,2,0
277,a,F,2,1,3,1,2,0,1,1,1,4,1
279,c,M,3,0,4,0,1,1,1,1,0,4,1
280,c,M,2,1,4,0,2,0,1,1,1,4,0
281,d,F,5,1,2,1,0,0,3,1,1,4,2
282,e,M,3,0,3,0,0,1,1,0,0,3,0
283,c,M,4,1,3,1,1,0,1,1,0,5,2
284,a,M,5,1,3,1,2,0,2,1,0,4,1
286,b,M,3,1,1,1,0,0,1,1,1,2,2
287,b,F,5,0,4,0,1,0,1,1,0,4,0
288,c,M,5,1,3,2,2,0,2,1,1,2,1
289,b,F,5,0,2,1,0,0,3,1,1,4,2
290,d,M,4,1,1,1,0,0,1,1,0,1,0
292,a,M,5,1,2,1,0,0,3,1,1,4,1
293,b,M,4,1,3,2,1,1,2,0,1,2,2
294,c,M,2,0,4,1,1,0,1,1,0,5,2
295,d,F,2,1,4,2,2,1,2,1,1,5,2
296,c,F,4,0,3,1,2,0,2,1,1,4,2
297,c,F,4,1,4,1,0,0,1,1,0,4,2
298,d,M,4,1,2,0,0,0,1,1,0,4,0
299,a,M,3,1,2,1,2,0,2,1,1,4,2
300,d,M,3,1,3,1,1,0,2,1,1,5,2
301,d,F,2,0,2,1,0,1,1,0,0,1,0
302,d,F,3,1,2,1,2,1,2,0,1,4,1
304,e,M,4,1,1,0,0,1,2,0,1,4,2
305,c,F,4,1,4,2,1,0,2,1,1,3,2
306,b,M,4,1,4,2,2,0,2,1,1,4,2
308,e,M,2,0,3,0,2,0,2,1,1,4,0
310,b,M,4,1,4,1,1,0,2,0,0,4,1
311,d,M,3,1,2,0,0,0,2,1,1,1,1
314,b,M,5,0,4,0,1,0,2,1,0,5,1
315,c,M,5,1,2,1,2,0,4,1,1,4,2
317,d,M,2,0,3,2,0,0,3,1,1,2,1
318,b,M,3,0,4,3,2,0,1,1,1,1,1
319,b,M,5,1,4,0,1,0,2,1,0,2,2
320,c,M,3,1,4,2,1,1,1,1,0,5,2
321,b,M,4,1,4,1,1,0,2,0,1,4,2
323,b,M,5,0,3,1,0,0,2,0,0,4,2
324,e,M,4,1,4,2,1,0,2,1,1,4,1
325,c,M,4,1,4,2,1,1,4,1,1,5,2
326,c,M,3,1,2,0,2,0,3,1,1,2,1
327,d,M,4,1,0,2,NA,0,2,1,1,4,1
328,b,M,3,1,2,0,1,0,1,1,0,4,2
329,e,M,4,1,3,1,1,0,3,1,0,2,1
330,e,M,3,1,3,0,1,0,1,1,1,3,1
331,a,M,3,1,2,1,1,1,5,0,0,3,0
333,d,M,3,1,4,2,1,0,3,1,1,4,1
334,e,F,5,1,3,0,0,0,3,0,0,2,2
335,b,M,2,1,4,1,1,0,2,0,0,4,1
339,d,F,5,1,2,0,0,0,2,0,0,4,2
340,b,M,4,1,4,1,1,0,1,1,0,4,1
341,e,M,5,1,2,2,1,0,2,1,1,5,2
342,b,M,2,1,2,1,2,1,3,1,1,3,2
343,d,F,4,1,2,2,0,0,2,0,0,3,2
344,b,M,3,1,1,3,2,1,5,0,1,2,2
345,b,M,4,1,2,1,1,0,1,0,0,4,2
347,d,F,3,1,3,2,2,0,3,1,1,1,1
348,b,F,3,0,4,1,0,0,1,0,0,3,2
349,b,M,5,1,2,1,0,0,3,1,1,3,1
350,b,M,2,0,4,2,2,0,1,1,0,4,1
351,b,F,4,1,2,0,0,0,1,0,0,3,2
352,b,M,3,1,2,2,0,1,2,0,1,1,0
353,e,F,2,0,4,3,2,1,3,1,1,5,2
354,b,F,5,1,2,1,2,0,2,0,0,4,1
356,c,F,3,0,4,2,1,1,1,1,1,1,1
357,e,M,4,1,3,0,0,0,1,1,1,4,0
359,d,M,5,1,3,0,0,0,1,1,0,4,2
360,d,F,2,1,3,2,1,0,2,1,1,4,2
361,b,M,5,1,3,1,2,0,2,1,1,4,2
362,c,F,3,1,2,2,1,0,2,1,0,2,1
363,e,M,4,1,4,1,1,0,1,1,1,3,2
364,d,F,4,1,3,2,0,1,2,1,1,4,2
365,b,F,5,1,1,0,0,0,1,0,0,2,2
366,e,M,4,1,4,2,1,0,2,1,1,2,1
367,d,M,3,0,4,2,2,1,1,1,1,5,0
368,b,F,2,0,4,3,2,1,1,1,1,4,2
369,b,F,4,0,4,0,1,0,2,0,1,4,0
370,c,M,4,0,4,2,1,1,1,0,0,2,1
371,d,F,3,0,4,1,2,0,2,1,1,4,1
372,e,F,3,1,2,0,2,0,2,1,1,3,2
374,b,F,5,1,4,0,2,0,2,0,0,3,1
375,d,M,3,1,2,2,0,0,1,0,0,3,1
377,b,M,5,1,4,1,2,0,3,1,1,4,1
379,d,M,5,0,0,0,NA,1,3,1,1,1,0
380,d,F,4,0,4,0,1,0,2,1,1,1,0
381,c,M,3,1,4,0,1,0,1,1,1,1,0
382,c,M,3,1,4,1,1,1,1,1,0,2,0
383,b,F,3,0,4,1,1,0,2,0,0,4,2
384,d,M,3,1,4,0,2,0,2,1,1,4,1
385,c,M,5,0,2,0,0,0,2,0,0,3,0
386,c,F,3,1,4,1,2,0,1,1,0,3,1
387,d,F,3,0,4,1,2,1,3,0,1,3,2
388,c,F,3,0,3,2,2,0,2,1,1,3,0
389,c,M,4,1,2,2,0,0,2,1,1,4,2
390,e,M,5,1,4,1,2,0,2,1,1,1,0
391,e,M,3,1,4,0,1,0,1,1,1,3,1
393,d,F,3,0,3,0,1,0,1,0,0,2,1
394,d,M,4,1,2,1,0,0,2,0,0,1,1
395,d,F,4,0,4,1,1,0,2,1,1,4,1
396,d,M,5,1,4,0,1,0,2,0,0,4,1
397,a,F,4,1,2,1,0,0,1,0,0,3,1
399,b,M,5,1,4,0,1,0,2,1,1,4,2
401,d,M,3,1,2,1,0,0,2,1,1,3,1
402,d,F,3,0,4,1,1,0,1,1,0,2,1
403,d,M,5,1,4,1,1,1,3,1,0,3,2
404,a,M,4,1,2,2,2,0,2,0,0,5,2
405,c,M,5,1,2,2,2,0,2,1,1,3,2
406,d,M,3,1,2,1,1,0,2,1,1,4,0
407,b,M,4,1,4,1,1,0,2,1,1,4,2
408,d,F,5,0,3,0,0,0,3,1,1,4,0
409,c,M,5,1,3,1,1,0,1,1,1,4,1
410,b,M,4,1,4,2,2,0,1,1,1,4,0
411,d,M,5,0,4,0,1,0,3,1,1,4,1
412,b,M,3,1,4,1,1,0,1,0,1,4,1
413,b,F,3,0,0,2,NA,0,1,0,0,4,1
414,b,F,5,1,3,0,1,0,1,0,0,4,2
415,d,F,4,1,2,1,0,1,2,0,0,3,1
416,e,F,3,1,4,1,1,1,2,1,1,3,1
417,b,M,3,1,4,1,1,0,2,1,1,4,1
418,d,M,5,1,2,1,0,1,3,0,1,4,2
419,b,M,5,1,2,1,0,0,2,1,1,2,1
421,b,M,4,1,3,2,1,0,2,1,1,4,1
422,b,M,5,1,4,2,2,0,1,1,1,6,2
423,d,M,3,1,4,0,1,0,1,1,1,3,2
424,d,F,4,0,4,2,1,1,2,1,1,2,0
426,b,M,5,1,3,2,1,0,2,0,0,1,0
429,c,M,3,1,4,2,2,0,1,1,1,1,0
430,e,M,5,1,2,1,0,0,1,1,0,4,1
431,b,F,2,0,4,2,1,1,1,1,0,4,1
432,d,M,3,0,3,0,0,1,2,1,1,2,0
433,b,M,3,1,3,2,1,0,1,1,1,2,2
436,e,F,5,1,1,1,0,0,3,0,0,2,1
438,d,M,5,1,2,2,2,0,2,1,1,4,2
439,d,F,5,0,4,1,2,0,2,1,1,2,0
440,c,F,5,1,3,1,0,0,2,0,0,2,2
441,a,F,3,0,4,0,1,0,1,1,1,4,2
443,d,M,3,1,2,2,2,1,3,1,1,3,2
444,e,F,3,1,4,2,2,0,1,1,1,3,1
445,d,F,5,0,4,2,1,0,1,1,0,1,0
446,e,F,5,0,2,0,0,0,2,1,0,3,2
449,a,M,5,1,2,1,0,0,1,0,0,2,1
450,d,F,4,1,4,1,1,0,1,1,0,3,1
451,b,M,4,1,2,0,0,0,2,0,0,6,0
452,c,F,3,1,3,0,1,0,1,1,1,5,2
453,b,F,4,0,4,2,1,0,2,1,1,4,2
454,c,F,5,1,1,0,0,1,3,0,1,5,0
456,c,M,4,1,1,1,0,0,1,0,0,4,2
457,b,M,3,1,3,1,0,0,2,1,0,3,1
458,d,F,5,0,4,1,2,0,2,1,1,4,0
459,e,M,5,0,4,1,1,0,1,1,1,4,1
462,c,F,4,0,3,1,2,1,3,0,1,4,1
463,b,F,3,0,4,1,2,1,4,1,1,1,0
464,d,F,2,0,4,1,2,0,2,1,1,1,0
465,b,M,5,1,3,2,2,0,2,0,1,5,2
466,c,M,5,1,2,0,0,0,1,0,0,4,0
468,c,F,5,1,2,1,0,0,2,1,1,4,2
469,d,F,3,0,4,1,2,0,1,1,1,3,2
470,e,F,5,1,2,1,0,0,2,0,0,2,0
472,e,F,3,0,4,0,1,0,3,1,1,4,1
473,d,M,3,1,3,3,0,0,1,0,0,4,2
474,a,M,2,1,3,2,2,1,3,1,1,3,1
476,c,F,3,1,3,0,1,1,1,1,1,3,2
477,d,F,2,1,3,1,1,0,3,1,1,4,2
478,c,M,4,0,2,1,0,0,1,0,0,1,0
479,d,M,2,0,4,2,0,1,2,1,0,4,0
