NO,지역,성별,나이,자동차,대중교통,택시,비용,경험,인지,한정도입,완전도입,가구원수,월소득
1810,b,F,1,0,3,0,0,0,1,1,0,4,0
1817,d,F,1,1,4,0,1,0,2,1,0,3,0
1832,e,M,1,0,4,0,0,0,1,0,0,4,1
1843,d,F,1,0,4,0,1,0,3,1,1,7,0
1861,b,F,1,0,4,2,2,0,1,1,1,4,2
1864,b,M,2,0,3,2,2,0,1,0,0,1,2
1874,d,F,1,0,4,1,0,0,1,1,0,5,1
1875,b,M,1,0,4,1,1,0,1,0,0,6,2
1876,b,M,1,0,3,2,0,0,1,0,1,4,0
1877,b,M,1,1,3,2,0,0,4,1,1,4,1
1881,b,M,1,0,3,0,0,0,1,1,1,4,0
1898,b,F,1,1,3,0,0,1,4,1,1,4,0
1921,c,M,1,0,4,0,0,1,3,1,1,5,1
1925,b,F,1,0,4,1,1,0,1,1,0,3,2
1935,b,F,1,0,4,1,1,0,1,1,0,4,2
1937,c,M,1,0,2,1,0,1,2,1,1,4,1
1938,e,F,1,0,4,1,2,0,1,1,1,4,1
1947,c,M,1,1,3,2,2,1,3,1,1,3,2
1982,c,M,1,0,2,1,0,0,2,1,1,4,2
1987,c,M,1,0,4,1,2,0,4,1,1,4,2
